user_id,first_name,last_name,age,gender,location,signUpDate,subscriptionPlan,deviceType
1,Paulie,Augustine,36,Female,Abu Dhabi,12/9/2022,Gold,Mozilla/5.0 (Windows NT 5.1; rv:14.0) Gecko/20120405 Firefox/14.0a1
2,Angele,Bigmore,61,Female,Karachi,5/26/2022,Gold,"Mozilla/5.0 (Windows NT 6.0) yi; AppleWebKit/345667.12221 (KHTML, like Gecko) Chrome/23.0.1271.26 Safari/453667.1221"
3,Cinda,Leachman,33,Bigender,NewYork,10/25/2022,Platinum,Mozilla/5.0 (Windows NT 6.1; rv:12.0) Gecko/20120403211507 Firefox/14.0.1
4,Grazia,Kippie,58,Female,Dubai,5/28/2022,Platinum,"Mozilla/5.0 (iPhone; U; fr; CPU iPhone OS 4_2_1 like Mac OS X; fr) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8C148a Safari/6533.18.5"
5,Marjy,Attwoull,23,Female,Delhi,7/15/2022,Premium,"Mozilla/5.0 (Windows; U; Windows NT 6.0; ja-JP) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27"
6,Claudina,Grafom,34,Female,Delhi,1/15/2023,Premium,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.697.0 Safari/534.24"
7,Obadias,Ainslee,100,Male,Mumbai,1/14/2023,Basic,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.2 (KHTML, like Gecko) Ubuntu/11.10 Chromium/15.0.874.120 Chrome/15.0.874.120 Safari/535.2"
8,Errol,O'Hara,24,Male,Abu Dhabi,8/30/2022,Premium,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_7) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.813.0 Safari/535.1"
9,Rheba,MacGeaney,88,Female,Mumbai,6/6/2022,Gold,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.6 (KHTML, like Gecko) Chrome/16.0.897.0 Safari/535.6"
10,Jorrie,Pollicote,61,Female,Dubai,8/18/2022,Gold,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.864.0 Safari/535.2"
11,Allin,Maeer,22,Male,Sydney,8/13/2022,Platinum,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.17 (KHTML, like Gecko) Chrome/10.0.649.0 Safari/534.17"
12,Daffy,Ranns,90,Female,NewYork,10/18/2022,Gold,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_7) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.41 Safari/535.1"
13,Pammi,Lunam,28,Bigender,California,6/4/2022,Gold,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_4_11; tr) AppleWebKit/528.4+ (KHTML, like Gecko) Version/4.0dp1 Safari/526.11.2"
14,Hilton,Heathcott,47,Male,Detroit,9/17/2022,Basic,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.113 Safari/534.30"
15,Gage,Brien,44,Male,Bangalore,9/24/2022,Basic,"Mozilla/5.0 (Windows NT 6.0) yi; AppleWebKit/345667.12221 (KHTML, like Gecko) Chrome/23.0.1271.26 Safari/453667.1221"
16,Randie,Barends,89,Male,Osaka,1/12/2023,Premium,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1062.0 Safari/536.3"
17,Elana,Grayland,63,Female,NewYork,6/15/2022,Basic,"Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4"
18,Ashli,Danielovitch,58,Female,California,1/11/2023,Premium,"Mozilla/5.0 (X11; U; Linux x86_64; en-ca) AppleWebKit/531.2+ (KHTML, like Gecko) Version/5.0 Safari/531.2+"
19,Arie,Bowley,62,Male,Karachi,12/5/2022,Basic,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; en-us) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27"
20,Jae,Orred,43,Male,Bangalore,7/15/2022,Gold,"Mozilla/5.0 (X11; U; Linux x86_64; en-ca) AppleWebKit/531.2+ (KHTML, like Gecko) Version/5.0 Safari/531.2+"
21,Ambrosi,Boshers,68,Polygender,Abu Dhabi,10/9/2022,Gold,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/537.13 (KHTML, like Gecko) Chrome/24.0.1290.1 Safari/537.13"
22,Flory,Chander,29,Female,Abu Dhabi,5/20/2022,Gold,Mozilla/6.0 (Macintosh; I; Intel Mac OS X 11_7_9; de-LI; rv:1.9b4) Gecko/2012010317 Firefox/10.0a4
23,Cass,McCall,84,Male,Mumbai,7/20/2022,Premium,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/12.0.702.0 Safari/534.24"
24,Ruprecht,Arkil,58,Male,Dubai,4/16/2022,Premium,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/4E423F"
25,Morganne,Moulden,33,Female,Abu Dhabi,6/4/2022,Premium,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1062.0 Safari/536.3"
26,Wally,Eastcott,60,Male,Mumbai,5/23/2022,Platinum,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.13 (KHTML, like Gecko) Chrome/24.0.1290.1 Safari/537.13"
27,Emylee,Hamor,76,Female,Abu Dhabi,7/23/2022,Basic,"Mozilla/5.0 (Windows; U; Windows NT 6.1; zh-HK) AppleWebKit/533.18.1 (KHTML, like Gecko) Version/5.0.2 Safari/533.18.5"
28,Bil,Shobbrook,19,Male,Mumbai,2/28/2023,Basic,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_6) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.12 Safari/534.24"
29,Irene,Langford,42,Female,California,9/22/2022,Gold,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/535.24 (KHTML, like Gecko) Chrome/19.0.1055.1 Safari/535.24"
30,Liliane,Wykey,46,Female,Bangalore,6/2/2022,Basic,"Mozilla/5.0 (Windows; U; Windows NT 6.1; zh-HK) AppleWebKit/533.18.1 (KHTML, like Gecko) Version/5.0.2 Safari/533.18.5"
31,Rozamond,Longley,30,Female,NewYork,10/23/2022,Platinum,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.803.0 Safari/535.1"
32,Raymond,Leisk,62,Polygender,Florida,7/22/2022,Gold,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/534.21 (KHTML, like Gecko) Chrome/11.0.682.0 Safari/534.21"
33,Leicester,Sowthcote,61,Male,Abu Dhabi,9/5/2022,Basic,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.100 Safari/534.30"
34,Quill,Amorine,36,Male,Karachi,12/1/2022,Gold,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1664.3 Safari/537.36"
35,Shandie,Fellgatt,51,Female,California,5/19/2022,Platinum,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.66 Safari/535.11"
36,Ike,Ramas,86,Male,Karachi,3/22/2022,Platinum,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1467.0 Safari/537.36"
37,Mara,McArte,84,Female,Mumbai,5/7/2022,Gold,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.6 Safari/537.11"
38,Miquela,Stove,14,Female,Mumbai,8/11/2022,Platinum,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; zh-tw) AppleWebKit/533.16 (KHTML, like Gecko) Version/5.0 Safari/533.16"
39,Shaylynn,Yeude,67,Female,Dubai,4/23/2022,Premium,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24"
40,Jordain,O'Hengerty,15,Female,Sydney,7/18/2022,Gold,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.66 Safari/535.11"
41,Francesco,Mil,96,Male,Mumbai,3/21/2022,Platinum,"Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.699.0 Safari/534.24"
42,Corbet,Pedron,56,Male,NewYork,3/13/2023,Gold,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2226.0 Safari/537.36"
43,Leda,Barbrook,77,Female,Bangalore,7/23/2022,Basic,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.803.0 Safari/535.1"
44,Thalia,Mantripp,39,Female,California,10/16/2022,Premium,"Mozilla/5.0 (X11; FreeBSD i386) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
45,Cathyleen,Von Helmholtz,68,Female,Karachi,4/27/2022,Gold,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2227.0 Safari/537.36"
46,Natala,Cattellion,94,Female,California,1/6/2023,Premium,"Mozilla/5.0 (iPhone; U; fr; CPU iPhone OS 4_2_1 like Mac OS X; fr) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8C148a Safari/6533.18.5"
47,Nilson,Hucklesby,84,Polygender,California,1/17/2023,Premium,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.215 Safari/535.1"
48,Geno,Suttaby,18,Male,Karachi,6/14/2022,Premium,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.45 Safari/535.19"
49,Fin,Siddons,12,Male,California,11/7/2022,Premium,"Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27"
50,Lulita,Bubb,86,Female,Osaka,7/7/2022,Platinum,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.13 (KHTML, like Gecko) Chrome/24.0.1290.1 Safari/537.13"
